氢_质量百分数	H_Wt%	氢_原子百分数	H_Atomic%	氢_分布状态	H_Distribution
氦_质量百分数	He_Wt%	氦_原子百分数	He_Atomic%	氦_分布状态	He_Distribution
锂_质量百分数	Li_Wt%	锂_原子百分数	Li_Atomic%	锂_分布状态	Li_Distribution
铍_质量百分数	Be_Wt%	铍_原子百分数	Be_Atomic%	铍_分布状态	Be_Distribution
硼_质量百分数	B_Wt%	硼_原子百分数	B_Atomic%	硼_分布状态	B_Distribution
碳_质量百分数	C_Wt%	碳_原子百分数	C_Atomic%	碳_分布状态	C_Distribution
氮_质量百分数	N_Wt%	氮_原子百分数	N_Atomic%	氮_分布状态	N_Distribution
氧_质量百分数	O_Wt%	氧_原子百分数	O_Atomic%	氧_分布状态	O_Distribution
氟_质量百分数	F_Wt%	氟_原子百分数	F_Atomic%	氟_分布状态	F_Distribution
氖_质量百分数	Ne_Wt%	氖_原子百分数	Ne_Atomic%	氖_分布状态	Ne_Distribution
钠_质量百分数	Na_Wt%	钠_原子百分数	Na_Atomic%	钠_分布状态	Na_Distribution
镁_质量百分数	Mg_Wt%	镁_原子百分数	Mg_Atomic%	镁_分布状态	Mg_Distribution
铝_质量百分数	Al_Wt%	铝_原子百分数	Al_Atomic%	铝_分布状态	Al_Distribution
硅_质量百分数	Si_Wt%	硅_原子百分数	Si_Atomic%	硅_分布状态	Si_Distribution
磷_质量百分数	P_Wt%	磷_原子百分数	P_Atomic%	磷_分布状态	P_Distribution
硫_质量百分数	S_Wt%	硫_原子百分数	S_Atomic%	硫_分布状态	S_Distribution
氯_质量百分数	Cl_Wt%	氯_原子百分数	Cl_Atomic%	氯_分布状态	Cl_Distribution
氩_质量百分数	Ar_Wt%	氩_原子百分数	Ar_Atomic%	氩_分布状态	Ar_Distribution
钾_质量百分数	K_Wt%	钾_原子百分数	K_Atomic%	钾_分布状态	K_Distribution
钙_质量百分数	Ca_Wt%	钙_原子百分数	Ca_Atomic%	钙_分布状态	Ca_Distribution
--------------------------------------
钪_质量百分数	Sc_Wt%	钪_原子百分数	Sc_Atomic%	钪_分布状态	Sc_Distribution
钛_质量百分数	Ti_Wt%	钛_原子百分数	Ti_Atomic%	钛_分布状态	Ti_Distribution
钒_质量百分数	V_Wt%	钒_原子百分数	V_Atomic%	钒_分布状态	V_Distribution
铬_质量百分数	Cr_Wt%	铬_原子百分数	Cr_Atomic%	铬_分布状态	Cr_Distribution
锰_质量百分数	Mn_Wt%	锰_原子百分数	Mn_Atomic%	锰_分布状态	Mn_Distribution
铁_质量百分数	Fe_Wt%	铁_原子百分数	Fe_Atomic%	铁_分布状态	Fe_Distribution
钴_质量百分数	Co_Wt%	钴_原子百分数	Co_Atomic%	钴_分布状态	Co_Distribution
镍_质量百分数	Ni_Wt%	镍_原子百分数	Ni_Atomic%	镍_分布状态	Ni_Distribution
铜_质量百分数	Cu_Wt%	铜_原子百分数	Cu_Atomic%	铜_分布状态	Cu_Distribution
锌_质量百分数	Zn_Wt%	锌_原子百分数	Zn_Atomic%	锌_分布状态	Zn_Distribution
镓_质量百分数	Ga_Wt%	镓_原子百分数	Ga_Atomic%	镓_分布状态	Ga_Distribution
锗_质量百分数	Ge_Wt%	锗_原子百分数	Ge_Atomic%	锗_分布状态	Ge_Distribution
砷_质量百分数	As_Wt%	砷_原子百分数	As_Atomic%	砷_分布状态	As_Distribution
硒_质量百分数	Se_Wt%	硒_原子百分数	Se_Atomic%	硒_分布状态	Se_Distribution
溴_质量百分数	Br_Wt%	溴_原子百分数	Br_Atomic%	溴_分布状态	Br_Distribution
氪_质量百分数	Kr_Wt%	氪_原子百分数	Kr_Atomic%	氪_分布状态	Kr_Distribution
铷_质量百分数	Rb_Wt%	铷_原子百分数	Rb_Atomic%	铷_分布状态	Rb_Distribution
锶_质量百分数	Sr_Wt%	锶_原子百分数	Sr_Atomic%	锶_分布状态	Sr_Distribution
钇_质量百分数	Y_Wt%	钇_原子百分数	Y_Atomic%	钇_分布状态	Y_Distribution
锆_质量百分数	Zr_Wt%	锆_原子百分数	Zr_Atomic%	锆_分布状态	Zr_Distribution
铌_质量百分数	Nb_Wt%	铌_原子百分数	Nb_Atomic%	铌_分布状态	Nb_Distribution
钼_质量百分数	Mo_Wt%	钼_原子百分数	Mo_Atomic%	钼_分布状态	Mo_Distribution
碍_质量百分数	Tc_Wt%	碍_原子百分数	Tc_Atomic%	碍_分布状态	Tc_Distribution
钌_质量百分数	Ru_Wt%	钌_原子百分数	Ru_Atomic%	钌_分布状态	Ru_Distribution
铑_质量百分数	Rh_Wt%	铑_原子百分数	Rh_Atomic%	铑_分布状态	Rh_Distribution
钯_质量百分数	Pd_Wt%	钯_原子百分数	Pd_Atomic%	钯_分布状态	Pd_Distribution
银_质量百分数	Ag_Wt%	银_原子百分数	Ag_Atomic%	银_分布状态	Ag_Distribution
镉_质量百分数	Cd_Wt%	镉_原子百分数	Cd_Atomic%	镉_分布状态	Cd_Distribution
铟_质量百分数	In_Wt%	铟_原子百分数	In_Atomic%	铟_分布状态	In_Distribution
锡_质量百分数	Sn_Wt%	锡_原子百分数	Sn_Atomic%	锡_分布状态	Sn_Distribution
